"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"24","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506674933227524",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","EnockSikulia",98,TRUE,FALSE,NA,NA
"25","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506674929065985",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","mca_tricky",98,TRUE,FALSE,NA,NA
"26","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506674924879872",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","lukuchiuku",98,TRUE,FALSE,NA,NA
"27","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506674920681472",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Cpendangiujinga",98,TRUE,FALSE,NA,NA
"28","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506674920677377",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ERinturi",98,TRUE,FALSE,NA,NA
"29","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506674920677376",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","AfriBlackMamba",98,TRUE,FALSE,NA,NA
"30","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506674912301056",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","likiundu",98,TRUE,FALSE,NA,NA
"31","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506674912296961",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Dylan_ynat",98,TRUE,FALSE,NA,NA
"32","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506674912288768",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kiprop29524708",98,TRUE,FALSE,NA,NA
"33","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506674706735105",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Mirichia1",98,TRUE,FALSE,NA,NA
"34","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506674652237824",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kitilit3",98,TRUE,FALSE,NA,NA
"35","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506674643849216",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","msodoro",98,TRUE,FALSE,NA,NA
"36","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506674635481088",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","nkumbuko",98,TRUE,FALSE,NA,NA
"37","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506674614493184",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ForensicScienc3",98,TRUE,FALSE,NA,NA
"38","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506674610311168",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","mengich_julius",98,TRUE,FALSE,NA,NA
"39","RT @NCIC_Kenya: We urge Kenyans to remain calm and embrace peace @inwanyoike @Ole_Kaparo1 @Nwamocha @KibetBenard_  #SupremeCourtDecides #Nc…",FALSE,0,NA,2017-09-01 06:35:52,FALSE,NA,"903506674610294786",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","mtoto_wa_mca",98,TRUE,FALSE,NA,NA
